CAND_NAME,CAND_STATE,OUTCOME,STAGE,NOTES
"AYYADURAI, SHIVA DR",MA,Lost,Primary,Lost Republican primary to O'Connor (39.4%)
"PEMBERTON, STEVE",MA,Withdrew,Primary,Withdrew from D primary in Oct 2019 before ballot qualification
"MAZZUCHELLI, EDWARD JAMES",MA,Lost,Primary,Filed with FEC; did not appear on primary ballot
"OSSOFF, T. JONATHAN",GA,Won,General,Won D primary; won general (Jan 5 2021 runoff vs Perdue)
"PERDUE, DAVID",GA,Lost,General,Incumbent R; lost Jan 2021 runoff to Ossoff (~49.7% in Nov general)
"BUCKLEY, ALLEN",GA,Lost,General,Libertarian; lost general (~2.3%)
"WINFIELD, RICHARD DIEN",GA,Lost,Primary,Lost Democratic primary to Ossoff
"TOMLINSON, TERESA PIKE",GA,Lost,Primary,Lost Democratic primary to Ossoff
"RIGGS AMICO, SARAH",GA,Lost,Primary,Lost Democratic primary to Ossoff
"JACKSON, DEBORAH A",GA,Lost,Primary,Lost Democratic primary to Ossoff
"COONS, CHRISTOPHER A.",DE,Won,General,Incumbent Democrat; won re-election
"WITZKE, LAUREN ELENA",DE,Lost,General,Won R primary; lost general to Coons
"DEMARTINO, JAMES",DE,Lost,Primary,Lost Republican primary to Witzke
"HAGERTY, BILL",TN,Won,General,"Won R primary (open seat, Alexander retired); won general"
"BRADSHAW, MARQUITA",TN,Lost,General,Won D primary; lost general to Hagerty
"ALEXANDER, LAMAR",TN,N/A,N/A,Incumbent who retired; did not seek re-election in 2020
"SETHI, DR. MANNY",TN,Lost,Primary,Lost Republican primary to Hagerty
"MACKLER, JAMES",TN,Lost,Primary,Lost Democratic primary to Bradshaw
"MCLEOD, ELIZABETH D",TN,Lost,Primary,Lost Democratic primary to Bradshaw
"FAPARUSI, YOMI DR. SR",TN,Lost,Primary,Lost Democratic primary to Bradshaw
"MARSHALL, ROGER W",KS,Won,General,"Won R primary (40.3%); won general (open seat, Roberts retired)"
"BOLLIER, BARBARA",KS,Lost,General,Won D primary; lost general to Marshall
"GRISSOM, BARRY",KS,Lost,Primary,Lost Democratic primary to Bollier
"KOBACH, KRIS",KS,Lost,Primary,Lost Republican primary to Marshall (26.1%)
"WAGLE, SUSAN",KS,Lost,Primary,Lost Republican primary to Marshall
"HAMILTON, BOB",KS,Lost,Primary,Lost Republican primary to Marshall
"LINDSTROM, DAVID ALAN",KS,Lost,Primary,Lost Republican primary to Marshall (6.6%)
"LATURNER, JAKE",KS,Withdrew,Primary,Withdrew from Senate race; ran for U.S. House KS-02 instead
"ROBERTS, PAT",KS,N/A,N/A,Incumbent who retired; did not seek re-election in 2020
"COLLINS, SUSAN M.",ME,Won,General,Incumbent Republican; won re-election
"GIDEON, SARA",ME,Lost,General,Won D primary; lost general to Collins
"SAVAGE, LISA JILL",ME,Lost,General,Independent/Green candidate; lost general
"SWEET, BETSY",ME,Lost,Primary,Lost Democratic primary to Gideon
"LAJEUNESSE, ROSS",ME,Lost,Primary,Lost Democratic primary to Gideon
"HYDE-SMITH, CINDY",MS,Won,General,Incumbent Republican; won re-election
"ESPY, MICHAEL",MS,Lost,General,Won D primary; lost general to Hyde-Smith
"PETERS, GARY",MI,Won,General,Incumbent Democrat; won re-election
"JAMES, JOHN",MI,Lost,General,Won R primary; lost general to Peters
"BOOKER, CORY A.",NJ,Won,General,Incumbent Democrat; won re-election
"MEHTA, RIKIN",NJ,Lost,General,Won R primary (39.5%); lost general to Booker
"SINGH, HIRSH V",NJ,Lost,Primary,Lost Republican primary to Mehta (~34.5%)
"BURKE, DANIEL C. MR.",NJ,Lost,General,"Independent candidate; ran in general, lost to Booker"
"FERNANDEZ, VERONICA",NJ,Lost,General,"Independent candidate; ran in general, lost to Booker"
"MEISSNER, STUART",NJ,Lost,Primary,Filed with FEC; did not make the Republican primary ballot
"DAINES, STEVE",MT,Won,General,Incumbent Republican; won re-election
"BULLOCK, STEVE",MT,Lost,General,Won D primary; lost general to Daines
"NEUMANN, CORA",MT,Lost,Primary,Lost Democratic primary to Bullock
"TILLIS, THOM R. SEN.",NC,Won,General,Incumbent Republican; won re-election
"CUNNINGHAM, CAL",NC,Lost,General,Won D primary; lost general to Tillis
"MANSFIELD, ERIC",NC,Lost,Primary,Lost Democratic primary to Cunningham
"TUCKER, GARLAND S III",NC,Lost,Primary,Lost Republican primary to Tillis
"COTTON, THOMAS",AR,Won,General,Incumbent Republican; won re-election
"WHITFIELD, DANIEL ALLEN",AR,Lost,General,Won D primary; lost general to Cotton
"SULLIVAN, DAN",AK,Won,General,Incumbent Republican; won re-election
"GROSS, AL DR.",AK,Lost,General,Independent candidate; lost general to Sullivan
"MERKLEY, JEFFREY ALAN",OR,Won,General,Incumbent Democrat; won re-election
"PERKINS, JO RAE",OR,Lost,General,Won R primary; lost general to Merkley
"ROUNDS, MIKE",SD,Won,General,Incumbent Republican; won re-election
"AHLERS, DAN",SD,Lost,General,Won D primary; lost general to Rounds
"BORGLUM, SCYLLER",SD,Lost,Primary,Lost Republican primary to Rounds
"CORNYN, JOHN SEN",TX,Won,General,Incumbent Republican; won re-election
"HEGAR, MARY JENNINGS MJ",TX,Lost,General,Won D primary runoff vs West; lost general to Cornyn
"WEST, ROYCE",TX,Lost,Primary,Lost Democratic primary runoff to Hegar (July 14)
"EDWARDS, AMANDA",TX,Lost,Primary,Lost Democratic primary first round (~10.1%)
"TZINTZUN RAMIREZ, CRISTINA",TX,Lost,Primary,Lost Democratic primary first round (13.2%)
"MCKENNON, KERRY DOUGLAS",TX,Lost,General,Libertarian nominee; lost general to Cornyn
"COOPER, MICHAEL E PASTOR",TX,Lost,Primary,Lost Democratic primary first round (~5%)
"BELL, ROBERT CHRISTOPHER MR.",TX,Lost,Primary,Lost Democratic primary first round (~8.5%)
"STOVALL, DWAYNE",TX,Lost,Primary,Lost Republican primary to Cornyn
"LUMMIS, CYNTHIA MARIE MRS.",WY,Won,General,"Won R primary; won general (open seat, Enzi retired)"
"BEN DAVID, MERAV",WY,Lost,General,Won D primary; lost general to Lummis
"ENZI, MICHAEL B",WY,N/A,N/A,Incumbent who retired; did not seek re-election in 2020
"SHORT, ROBERT G",WY,Lost,Primary,Lost Republican primary to Lummis
"HICKENLOOPER, JOHN W.",CO,Won,General,Won D primary; won general vs incumbent Gardner
"GARDNER, CORY",CO,Lost,General,Incumbent Republican; lost general to Hickenlooper
"ROMANOFF, ANDREW",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"BAER, DAN",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"JOHNSTON, MICHAEL C",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"WALSH, JOHN",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"ZORNIO, PATRICIA ANNE",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"WARREN, MICHELLE FERRIGNO",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"WILLIAMS, ANGELA",CO,Lost,Primary,Lost Democratic primary to Hickenlooper
"GRAHAM, LINDSEY O.",SC,Won,General,Incumbent Republican; won re-election
"HARRISON, JAIME",SC,Lost,General,Won D primary; lost general to Graham
"WARNER, MARK ROBERT",VA,Won,General,Incumbent Democrat; won re-election (nominated by convention)
"GADE, DANIEL MACARTHUR MR.",VA,Lost,General,Won R nomination (convention); lost general to Warner
"TAYLOR, SCOTT W.",VA,Lost,Primary,Lost Republican convention nomination to Gade
"FAULKNER, OMARI",VA,Lost,Primary,Lost Republican convention nomination to Gade
"CAPITO, SHELLEY MOORE",WV,Won,General,Incumbent Republican; won re-election
"SWEARENGIN, PAULA JEAN",WV,Lost,General,Won D primary; lost general to Capito
"TUBERVILLE, THOMAS H",AL,Won,General,Won R primary runoff vs Sessions (July 14); won general
"JONES, DOUG",AL,Lost,General,Incumbent Democrat; lost general to Tuberville
"SESSIONS, JEFFERSON B",AL,Lost,Primary,Lost Republican primary runoff to Tuberville (July 14)
"BYRNE, BRADLEY ROBERTS",AL,Lost,Primary,Lost Republican primary first round (25.2%); did not advance to runoff
"MOONEY, ARNOLD",AL,Lost,Primary,Lost Republican primary first round; did not advance to runoff
"MERRILL, JOHN H",AL,Lost,Primary,Lost Republican primary first round; did not advance to runoff
"MOORE, ROY STEWART",AL,Lost,Primary,Lost Republican primary first round; did not advance to runoff
"KELLY, MARK",AZ,Won,General,Won D primary; won special election (McCain's unexpired seat)
"MCSALLY, MARTHA",AZ,Lost,General,Incumbent Republican (appointed); lost special election to Kelly
"REED, JOHN F.",RI,Won,General,Incumbent Democrat; won re-election
"WATERS, ALLEN",RI,Lost,General,Won R primary; lost general to Reed
"SMITH, TINA",MN,Won,General,Incumbent Democrat; won re-election
"LEWIS, JASON",MN,Lost,General,Won R primary; lost general to Smith
"INHOFE, JAMES M. SEN.",OK,Won,General,Incumbent Republican; won re-election
"BROYLES, ABBY",OK,Lost,General,Won D primary; lost general to Inhofe
"NESBIT, APRIL",OK,Lost,General,Independent candidate; lost general (~0.8%) to Inhofe
"SASSE, BENJAMIN E",NE,Won,General,Incumbent Republican; won re-election
"JANICEK, CHRIS EDWARD MR",NE,Lost,General,Won D primary; lost general to Sasse
"RISCH, JAMES E",ID,Won,General,Incumbent Republican; won re-election
"JORDAN, PAULETTE",ID,Lost,General,Won D primary; lost general to Risch
