CAND_NAME,CAND_OFFICE_ST,OUTCOME,STAGE,NOTES
"DEMINGS, VAL",FL,Lost,General,Won D primary (84.29%); lost general (41.27%)
"MISIGOY, DENNIS",FL,Lost,General,Libertarian; lost general (0.41%)
"GRANT, STEVEN B",FL,Lost,General,NPA independent; lost general (0.41%)
"NGUYEN, QUOC TUAN MR.",FL,Lost,General,NPA independent; lost general (0.22%)
"WARNOCK, RAPHAEL",GA,Won,General,Incumbent D; won general runoff Dec 6 (51.40%)
"WALKER, HERSCHEL MR.",GA,Lost,General,Won R primary (68.18%); lost general runoff Dec 6 (48.60%)
"BLACK, GARY",GA,Lost,Primary,Lost R primary (13.35%)
"SADDLER, LATHAM",GA,Lost,Primary,Lost R primary (8.86%)
"CLARK, JOSHUA STEPHEN",GA,Lost,Primary,Lost R primary (3.96%)
"KING, KELVIN",GA,Lost,Primary,Lost R primary (3.22%)
"CHASE, OLIVER",GA,Lost,General,Libertarian; lost general (2.07%); triggered runoff by preventing 50%+1
"SCHATZ, BRIAN",HI,Won,General,Incumbent D; won general (71.21%)
"BONOAN, FEENA",HI,Lost,General,Libertarian; lost general (1.20%)
"CRAPO, MICHAEL D",ID,Won,General,Incumbent R; won general (60.68%)
"ROTH, DAVID JORDAN",ID,Lost,General,Won D primary (57.80%); lost general (28.74%)
"CLEVELAND, SCOTT OH",ID,Lost,General,Independent; lost general (8.45%)
"DUCKWORTH, L. TAMMY",IL,Won,General,Incumbent D; won general (56.82%)
"SALVI, KATHY RAYE",IL,Lost,General,Won R primary (30.23%); lost general (41.50%)
"REDPATH, WILLIAM MR.",IL,Lost,General,Libertarian; lost general (1.68%)
"YOUNG, TODD CHRISTOPHER",IN,Won,General,Incumbent R; won general (58.62%)
"MCDERMOTT, THOMAS M. JR",IN,Lost,General,Won D primary; lost general (37.87%)
"SCENIAK, JAMES",IN,Lost,General,Libertarian nominee; lost general (3.43%)
"NIEDERBERGER, DANIEL MR",IN,Lost,General,Write-in; received 0.07% in general; filed with FEC
"GRASSLEY, CHARLES E",IA,Won,General,Incumbent R; won general (56.01%)
"FRANKEN, MICHAEL T",IA,Lost,General,Won D primary (55.17%); lost general (43.84%)
"FINKENAUER, ABBY",IA,Lost,Primary,Lost D primary to Franken (39.90%)
"MORAN, JERRY",KS,Won,General,Incumbent R; won general (60.00%)
"HOLLAND, MARK R. REV.",KS,Lost,General,Won D primary (38.05%); lost general (37.04%)
"PAUL, RAND",KY,Won,General,Incumbent R; won general (61.80%)
"BOOKER, CHARLES",KY,Lost,General,Won D primary (73.29%); lost general (38.19%)
"KENNEDY, JOHN NEELY",LA,Won,General,Incumbent R; won outright in Louisiana jungle primary/general
"MIXON, LUKE",LA,Lost,General,D; lost Louisiana jungle primary/general to Kennedy
"CHAMBERS, GARY JR.",LA,Lost,General,D; lost Louisiana jungle primary/general to Kennedy
"STEIB, SYRITA",LA,Lost,General,D/independent; lost Louisiana jungle primary/general to Kennedy
"VAN HOLLEN, CHRIS",MD,Won,General,Incumbent D; won general
"SMITH, MICHELLE LAURENCE MS",MD,Lost,General,R; lost general to Van Hollen
"SCHMITT, ERIC",MO,Won,General,"Won R primary (45.6%); won general (open seat, Blunt retired)"
"BUSCH VALENTINE, TRUDY",MO,Lost,General,Won D primary; lost general to Schmitt
"HARTZLER, VICKY J",MO,Lost,Primary,Lost R primary to Schmitt (22.1%)
"GREITENS, ERIC",MO,Lost,Primary,Lost R primary to Schmitt (18.9%)
"LONG, BILLY",MO,Lost,Primary,Lost R primary to Schmitt (5.0%)
"MCCLOSKEY, MARK T",MO,Lost,Primary,Lost R primary to Schmitt (3.0%)
"SCHATZ, DAVE",MO,Lost,Primary,Lost R primary to Schmitt (1.1%)
"KUNCE, LUCAS",MO,Lost,Primary,Lost D primary to Busch Valentine
"SIFTON, SCOTT MR.",MO,Lost,Primary,Lost D primary to Busch Valentine
"TODER, SPENCER ROSS",MO,Lost,Primary,Lost R primary to Schmitt (minor candidate)
"VENABLE, PAUL",MO,Lost,Primary,Lost R primary to Schmitt (minor candidate)
"WOOD, JOHN FREDERICK",MO,Withdrew,Primary,Filed as independent; withdrew after Greitens lost (Greitens' loss removed his rationale)
"BLUNT, ROY",MO,N/A,N/A,Incumbent who retired; did not seek re-election in 2022
"CORTEZ MASTO, CATHERINE",NV,Won,General,Incumbent D; won general (48.8%)
"LAXALT, ADAM",NV,Lost,General,Won R primary; lost general (48.0%)
"HASSAN, MARGARET WOOD",NH,Won,General,Incumbent D; won general
"BOLDUC, DONALD C.",NH,Lost,General,Won R primary; lost general to Hassan
"MORSE, CHUCK",NH,Lost,Primary,Lost R primary to Bolduc
"KAUFFMAN, JEREMY",NH,Lost,General,Libertarian; lost general
"SMITH, KEVIN H.",NH,Lost,Primary,Lost R primary to Bolduc (minor candidate)
"MANSHARAMANI, VIKRAM",NH,Lost,Primary,Lost R primary to Bolduc (minor candidate)
"FENTON, BRUCE",NH,Lost,Primary,Lost R primary to Bolduc (minor candidate)
"SCHUMER, CHARLES E.",NY,Won,General,Incumbent D; won general
"PINION, JOSEPH III",NY,Lost,General,Won R nomination; lost general to Schumer
"SARE, DIANE",NY,Lost,General,LaRouche/independent; lost general (minor)
"MICI, ALEKSANDER",NY,Lost,General,Independent; lost general (minor)
"HILL, BRYAN",NY,Lost,Primary,Lost R primary/nomination to Pinion
"BUDD, THEODORE P",NC,Won,General,Won R primary; won general
"BEASLEY, CHERI",NC,Lost,General,Won D primary; lost general to Budd
"MCCRORY, PATRICK LLOYD",NC,Lost,Primary,Lost R primary to Budd
"WALKER, BRADLEY MARK",NC,Lost,Primary,Lost R primary to Budd
"HOH, MATTHEW PATRICK MR",NC,Lost,General,"Green/unaffiliated; ran in general, lost"
"LEWIS, MICHELLE ESTELLE",NC,Lost,Primary,Lost D primary to Beasley
"WATKINS, RICHARD LEE DR.",NC,Lost,Primary,Lost R primary to Budd (minor candidate)
"RHINEHARDT, KIMREY WOODARD MRS.",NC,Lost,Primary,Lost R primary to Budd (minor candidate)
"EASTMAN, MAJORIE K",NC,Lost,Primary,Lost R primary to Budd (minor candidate)
"HOEVEN, JOHN",ND,Won,General,Incumbent R; won general
"CHRISTIANSEN, KATRINA",ND,Lost,General,D; lost general to Hoeven
"VANCE, J D",OH,Won,General,"Won R primary (32.0%); won general (open seat, Portman retired)"
"RYAN, TIMOTHY",OH,Lost,General,Won D primary; lost general to Vance
"MANDEL, JOSHUA A.",OH,Lost,Primary,Lost R primary to Vance (23.9%)
"DOLAN, MATT",OH,Lost,Primary,Lost R primary to Vance (23.3%)
"GIBBONS, MICHAEL",OH,Lost,Primary,Lost R primary to Vance (11.7%)
"TIMKEN, JANE",OH,Lost,Primary,Lost R primary to Vance (5.9%)
"HARPER, MORGAN",OH,Lost,Primary,Lost D primary to Ryan
"FARIS, STEPHEN I MR",OH,Lost,Primary,"Filed with FEC; minor candidate, did not appear on primary ballot"
"HOLT, MIKE",OH,Lost,Primary,"Filed with FEC; minor candidate, did not appear on primary ballot"
"PORTMAN, ROB THE HONORA",OH,N/A,N/A,Incumbent who retired; did not seek re-election in 2022
"LANKFORD, JAMES PAUL",OK,Won,General,Incumbent R; won general (regular Lankford seat)
"LAHMEYER, JACKSON RHODES",OK,Lost,Primary,Lost R primary to Lankford (regular race)
"HORN, MADISON",OK,Lost,General,Won D primary runoff (regular race); lost general to Lankford
"BOLLINGER, JASON",OK,Lost,Primary,Lost D primary runoff to Horn (regular race)
"MULLIN, MARKWAYNE",OK,Won,General,Won R primary runoff (special); won general special election (Inhofe's seat)
"SHANNON, T.W.",OK,Lost,Primary,Lost R primary runoff to Mullin (special race)
"DAHM, NATHAN",OK,Lost,Primary,Lost R primary first round (special race); did not advance to runoff
"GRAY, ALEX",OK,Lost,Primary,Lost R primary first round (special race); did not advance to runoff
"GRELLNER, RANDY",OK,Lost,Primary,Lost R primary first round (special race); did not advance to runoff
"BLEVINS, KENNETH",OK,Lost,Primary,Lost primary (filed with FEC for OK Senate; minor candidate)
"WYDEN, RONALD LEE",OR,Won,General,Incumbent D; won general
"PERKINS, JO RAE",OR,Lost,General,Won R primary; lost general to Wyden
"HARBICK, DARIN",OR,Lost,Primary,Lost R primary to Perkins
"FETTERMAN, JOHN KARL",PA,Won,General,Won D primary (59.0%); won general
"OZ, MEHMET DR",PA,Lost,General,"Won R primary (narrowly over McCormick, ~31%); lost general"
"MCCORMICK, DAVE",PA,Lost,Primary,"Lost R primary to Oz (very close, ~31%)"
"BARNETTE, KATHY",PA,Lost,Primary,"Lost R primary (third place, ~25% late surge)"
"SANDS, CARLA H",PA,Lost,Primary,Lost R primary (~6%)
"BARTOS, JEFFREY A",PA,Lost,Primary,Lost R primary (~5%)
"BOCHETTO, GEORGE",PA,Lost,Primary,Lost R primary (minor candidate)
"PARNELL, RICHARD SEAN",PA,Withdrew,Primary,Filed with FEC; withdrew from R primary in Nov 2021 (domestic abuse findings)
"ARKOOSH, VALERIE",PA,Lost,Primary,Lost D primary to Fetterman (~21%)
"LAMB, CONOR",PA,Lost,Primary,Lost D primary to Fetterman (~25%)
"STREET, SHARIF",PA,Lost,Primary,Lost D primary to Fetterman (minor)
"KENYATTA, MALCOLM",PA,Lost,Primary,Lost D primary to Fetterman (~13%)
"ORTS, ERIC",PA,Lost,Primary,Lost D primary to Fetterman (minor)
"MCGUIGAN, JOHN DAVID",PA,Lost,Primary,Lost primary (filed with FEC; very minor candidate)
"ROSENFELD, MARTIN",PA,Lost,Primary,Lost primary (filed with FEC; very minor candidate)
"BAUMLIN, KEVIN DR.",PA,Lost,Primary,Lost primary (filed with FEC; very minor candidate)
"SCOTT, TIMOTHY E.",SC,Won,General,Incumbent R; won general
"MATTHEWS, KRYSTLE",SC,Lost,General,Won D primary runoff; lost general to Scott
"THUNE, JOHN R.",SD,Won,General,Incumbent R; won general
"BENGS, BRIAN L",SD,Lost,General,D; lost general to Thune
"LEE, MIKE",UT,Won,General,Incumbent R; won R convention nomination; won general
"MCMULLIN, DAVID EVAN",UT,Lost,General,Independent; lost general to Lee (38.5%)
"ISOM, ALLY",UT,Lost,Primary,Lost R convention nomination to Lee (Utah convention process)
"EDWARDS, BECKY",UT,Lost,Primary,Lost R convention nomination to Lee (Utah convention process)
"WELCH, PETER",VT,Won,General,"Won general (open seat, Leahy retired)"
"MALLOY, GERALD",VT,Lost,General,Won R primary; lost general to Welch
"NOLAN, CHRISTINA",VT,Lost,Primary,Lost R primary to Malloy
"COESTER, C. MARK MR",VT,Lost,Primary,Lost primary (filed with FEC; very minor candidate)
"PIERCE, BROCK",VT,Lost,General,Independent; lost general to Welch
"EVANS-FRANTZ, ISAAC",VT,Lost,Primary,Lost D primary/filed with FEC; minor candidate
"LEAHY, PATRICK J",VT,N/A,N/A,Incumbent who retired; did not seek re-election in 2022
"MURRAY, PATTY",WA,Won,General,Incumbent D; won general (57.09%)
"SMILEY, TIFFANY",WA,Lost,General,Won R top-two primary slot; lost general to Murray (42.56%)
"JOHNSON, RON HAROLD MR.",WI,Won,General,Incumbent R; won general (50.47%)
"BARNES, MANDELA",WI,Lost,General,Won D primary; lost general to Johnson (49.37%)
"NELSON, TOM",WI,Lost,Primary,Lost D primary to Barnes
"LASRY, ALEX",WI,Lost,Primary,Lost D primary to Barnes
"LEE, KOU C",WI,Lost,Primary,Lost D primary to Barnes (minor candidate)
"BATTINO, GILLIAN M.D.",WI,Lost,Primary,Lost D primary to Barnes (minor candidate)
